Company Name,Description,Joined,Location,Market,Website,Employee Size,Fund Raised,Tweeter Account
Real Ventures,Early-stage venture capital firm that backs entrepreneurs and builds ecosystems.,12-Feb,Toronto,-,realventures.com,11 to 50,-,
TrendMD,Knowledge discovery for doctors,12-Aug,San Francisco,Content Discovery,trendmd.com,11 to 50,-,TrendMD
Educents,The Trusted Marketplace for Educational Products,14-Jun,San Francisco,K-12 Education,Educents.com,11 to 50,"$2,900,000 ",Educents
Leo,Leveraging technology and design to reimagine the pediatric medical practice,14-Jul,New York City,Customer Service,leohealth.com,1 to 10,"$850,000 ",leoforkids
Pingpad,"Pingpad for Slack is the best of Trello, Google Docs and Wikis in one app",14-Aug,Palo Alto,Social,pingpad.net,1 to 10,"$1,000,000 ",pingpad
MoveWith,Your Personal Audio Fitness Studio,14-Sep,San Francisco,Fitness,movewith.com,1 to 10,"$4,250,000 ",
Wrapify,Empowering drivers through advertising,15-Feb,San Francisco,Advertising Platforms,wrapify.com,11 to 50,"$5,000,000 ",
Airfox,Bringing financial services to the unbanked in emerging markets,16-Feb,Boston,Blockchains,airfox.com,11 to 50,-,
Terminal 49,Making global trade more efficient and less expensive for businesses.,16-Mar,San Francisco,Logistics,terminal49.com,1 to 10,-,
OneMove,The smartest way to move long distance,16-Apr,Boulder,Logistics,onemove.net,11 to 50,"$1,250,000 ",
Comprehend Systems,,16-Apr,-,-,-, to ,"$21,000,000 ",
TeamDom,Teen Entertainment And Media,16-May,Los Angeles,Social Media Marketing,teamdom.co,1 to 10,"$1,000,000 ",
Nautilus Labs,Advancing the efficiency of maritime transportation,16-Nov,New York City,Shipping,nautiluslabs.co,11 to 50,"$2,000,000 ",
Focal Systems,Building Computer Vision Algos to solve billion dollar problems for B&M Retail.,16-May,Millbrae,Retail Technology,focal.systems,11 to 50,-,
Solugen (YC W'17),Replacing petroleum-based chemicals with plant-derived alternatives.,17-Jun,Philadelphia,Chemicals,solugentech.com,11 to 50,-,
GovPredict,"Research, analytics, and actionable intelligence for winning public affairs campaigns",16-May,Washington DC,Information Services,govpredict.com,11 to 50,-,
Ring,"Simple, proactive outdoor home security.",16-May,-,-,ring.com, to ,"$93,700,000 ",
Function of Beauty,Personalized Beauty Products (Shampoo/Conditioner),16-Jun,New York City,Beauty,functionofbeauty.com, to ,"$9,500,000 ",
Innovein (YC W16),Modern valves for Humans,16-Jun,San Carlos,Medical Devices,InnoVeinMedical.com,1 to 10,-,
Kid Koderz City,Technology Education Summer Camps,16-Jun,Toronto,Technology,kkcity.io,,-,
